Dataset,Acc_mean,Acc_std,F1_mean,F1_std,tstNum_mean,tstNum_std,Checkpoint,Sparsity,Repeat
home,0.5980592441266599,0.0,0.35856945179519867,0.0,1958.0,0.0,pretrain_link2,30.0,9
pubmed,0.6868661257606491,0.0,0.6834847837441304,0.0,3944.0,0.0,pretrain_link2,30.0,9
tech,0.8298545224541429,0.0,0.7789674989888549,0.0,9486.0,0.0,pretrain_link2,30.0,9
OVERALL,0.6572361100808546,0.0,0.4626919286350226,0.0,,,pretrain_link2,30.0,9
arxiv,0.6258872909079687,0.0,0.37942939516170143,0.0,48603.0,0.0,pretrain_link2,30.0,10
cora,0.6230228471001757,0.0,0.5613462292716644,0.0,3414.0,0.0,pretrain_link2,30.0,10
home,0.6818181818181818,0.0,0.4364308148905307,0.0,1958.0,0.0,pretrain_link2,30.0,10
pubmed,0.6939655172413793,0.0,0.6856824693011886,0.0,3944.0,0.0,pretrain_link2,30.0,10
tech,0.832595403752899,0.0,0.7654246012589452,0.0,9486.0,0.0,pretrain_link2,30.0,10
OVERALL,0.6604406201320376,0.0,0.46254022523254273,0.0,,,pretrain_link2,30.0,10
arxiv,0.6489105610764767,0.0,0.398597731272561,0.0,48603.0,0.0,pretrain_link2,40.0,1
cora,0.6282952548330404,0.0,0.5636669261492991,0.0,3414.0,0.0,pretrain_link2,40.0,1
home,0.6205311542390194,0.0,0.3624133268317288,0.0,1958.0,0.0,pretrain_link2,40.0,1
pubmed,0.7043610547667343,0.0,0.7017826887504932,0.0,3944.0,0.0,pretrain_link2,40.0,1
tech,0.8258486190174995,0.0,0.7788811820077717,0.0,9486.0,0.0,pretrain_link2,40.0,1
OVERALL,0.6751873006453527,0.0,0.4771650104563189,0.0,,,pretrain_link2,40.0,1
arxiv,0.6231714091722733,0.0,0.35792628324238607,0.0,48603.0,0.0,pretrain_link2,40.0,2
cora,0.6239015817223199,0.0,0.5625546702036891,0.0,3414.0,0.0,pretrain_link2,40.0,2
home,0.6368743615934627,0.0,0.3870181739203816,0.0,1958.0,0.0,pretrain_link2,40.0,2
pubmed,0.652129817444219,0.0,0.5778274581004801,0.0,3944.0,0.0,pretrain_link2,40.0,2
tech,0.80887623866751,0.0,0.7423568195896184,0.0,9486.0,0.0,pretrain_link2,40.0,2
OVERALL,0.6514353534604258,0.0,0.43610388930222693,0.0,,,pretrain_link2,40.0,2
arxiv,0.6252083204740448,0.0,0.3763722910172308,0.0,48603.0,0.0,pretrain_link2,40.0,3
cora,0.6203866432337434,0.0,0.5608144749113868,0.0,3414.0,0.0,pretrain_link2,40.0,3
home,0.6138917262512769,0.0,0.38999257925325387,0.0,1958.0,0.0,pretrain_link2,40.0,3
pubmed,0.6779918864097363,0.0,0.6549016200918313,0.0,3944.0,0.0,pretrain_link2,40.0,3
tech,0.8324899852414084,0.0,0.7815075445020474,0.0,9486.0,0.0,pretrain_link2,40.0,3
OVERALL,0.6568948891031823,0.0,0.4594223144369768,0.0,,,pretrain_link2,40.0,3
arxiv,0.6421825813221406,0.0,0.39774484484430067,0.0,48603.0,0.0,pretrain_link2,40.0,4
cora,0.6294669009958992,0.0,0.563018352189831,0.0,3414.0,0.0,pretrain_link2,40.0,4
home,0.6613891726251276,0.0,0.40168443496246525,0.0,1958.0,0.0,pretrain_link2,40.0,4
pubmed,0.7036004056795132,0.0,0.6865322591476652,0.0,3944.0,0.0,pretrain_link2,40.0,4
tech,0.8405017921146953,0.0,0.7976168289308898,0.0,9486.0,0.0,pretrain_link2,40.0,4
OVERALL,0.6735998813144426,0.0,0.47940229866207174,0.0,,,pretrain_link2,40.0,4
arxiv,0.6174721724996399,0.0,0.35981107049460437,0.0,48603.0,0.0,pretrain_link2,40.0,5
cora,0.6268306971294669,0.0,0.5620958773879325,0.0,3414.0,0.0,pretrain_link2,40.0,5
